m,TagName,
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","ruby","688"
"2010-02-01 00:00:00","perl","347"
"2010-02-01 00:00:00","c","1033"
"2010-02-01 00:00:00","go","7"
"2010-03-01 00:00:00","php","3714"
"2010-03-01 00:00:00","swift","1"
"2010-03-01 00:00:00","perl","390"
"2010-03-01 00:00:00","java","4438"
"2010-03-01 00:00:00","c","1113"
"2010-03-01 00:00:00","javascript","2987"
"2010-03-01 00:00:00","c#","6025"
"2010-03-01 00:00:00","python","2071"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","c++","2431"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","ruby","693"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","delphi","317"
"2010-04-01 00:00:00","python","1806"
"2010-04-01 00:00:00","php","3621"
"2010-04-01 00:00:00","ruby","752"
"2010-04-01 00:00:00","javascript","3011"
"2010-04-01 00:00:00","c++","2487"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","perl","363"
"2010-04-01 00:00:00","c","1181"
"2010-04-01 00:00:00","c#","5773"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","delphi","270"
"2010-04-01 00:00:00","java","3874"
"2010-04-01 00:00:00","swift","2"
"2010-05-01 00:00:00","php","3951"
"2010-05-01 00:00:00","python","2008"
"2010-05-01 00:00:00","c","1177"
"2010-05-01 00:00:00","c#","5925"
"2010-05-01 00:00:00","c++","2414"
"2010-05-01 00:00:00","ruby","775"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","java","4165"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","swift","1"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","javascript","3233"
"2010-05-01 00:00:00","r","139"
"2010-06-01 00:00:00","assembly","90"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","ruby","850"
"2010-06-01 00:00:00","c#","6138"
"2010-06-01 00:00:00","swift","3"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","javascript","3478"
"2010-06-01 00:00:00","java","4275"
"2010-06-01 00:00:00","python","2202"
"2010-06-01 00:00:00","c++","2822"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","c","1153"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4063"
"2010-07-01 00:00:00","delphi","333"
"2010-07-01 00:00:00","python","2583"
"2010-07-01 00:00:00","r","233"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","c","1284"
"2010-07-01 00:00:00","java","4504"
"2010-07-01 00:00:00","c#","6675"
"2010-07-01 00:00:00","javascript","3877"
"2010-07-01 00:00:00","swift","1"
"2010-07-01 00:00:00","ruby","910"
"2010-07-01 00:00:00","php","4568"
"2010-07-01 00:00:00","c++","2674"
"2010-07-01 00:00:00","assembly","97"
"2010-08-01 00:00:00","delphi","353"
"2010-08-01 00:00:00","java","4695"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","perl","546"
"2010-08-01 00:00:00","javascript","3999"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","c","1364"
"2010-08-01 00:00:00","c#","6954"
"2010-08-01 00:00:00","python","2490"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","ruby","992"
"2010-08-01 00:00:00","c++","2627"
"2010-08-01 00:00:00","php","5093"
"2010-08-01 00:00:00","swift","2"
"2010-09-01 00:00:00","c","1371"
"2010-09-01 00:00:00","c#","6408"
"2010-09-01 00:00:00","swift","2"
"2010-09-01 00:00:00","perl","460"
"2010-09-01 00:00:00","c++","2726"
"2010-09-01 00:00:00","javascript","4000"
"2010-09-01 00:00:00","ruby","935"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","python","2247"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","php","4659"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","delphi","319"
"2010-09-01 00:00:00","java","4704"
"2010-10-01 00:00:00","c++","2929"
"2010-10-01 00:00:00","javascript","4106"
"2010-10-01 00:00:00","python","2670"
"2010-10-01 00:00:00","swift","1"
"2010-10-01 00:00:00","php","4470"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","ruby","925"
"2010-10-01 00:00:00","perl","498"
"2010-10-01 00:00:00","java","5016"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c#","6725"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","c","1438"
"2010-11-01 00:00:00","r","241"
"2010-11-01 00:00:00","c#","7308"
"2010-11-01 00:00:00","python","2603"
"2010-11-01 00:00:00","java","5586"
"2010-11-01 00:00:00","javascript","4542"
"2010-11-01 00:00:00","ruby","927"
"2010-11-01 00:00:00","c++","3364"
"2010-11-01 00:00:00","delphi","390"
"2010-11-01 00:00:00","swift","1"
"2010-11-01 00:00:00","c","1673"
"2010-11-01 00:00:00","assembly","164"
"2010-11-01 00:00:00","php","5071"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","perl","464"
"2010-12-01 00:00:00","c++","3128"
"2010-12-01 00:00:00","go","18"
"2010-12-01 00:00:00","php","5350"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","assembly","125"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","python","2471"
"2010-12-01 00:00:00","javascript","4952"
"2010-12-01 00:00:00","c#","7095"
"2010-12-01 00:00:00","swift","2"
"2010-12-01 00:00:00","java","5666"
"2010-12-01 00:00:00","c","1466"
"2011-01-01 00:00:00","javascript","5415"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","python","2897"
"2011-01-01 00:00:00","c#","7975"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","swift","4"
"2011-01-01 00:00:00","c++","3482"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","php","6377"
"2011-01-01 00:00:00","perl","477"
"2011-01-01 00:00:00","java","6528"
"2011-01-01 00:00:00","ruby","1201"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","java","6851"
"2011-02-01 00:00:00","c#","8205"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","python","3007"
"2011-02-01 00:00:00","javascript","5590"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","c++","3434"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","swift","5"
"2011-02-01 00:00:00","php","6661"
"2011-02-01 00:00:00","c","1632"
"2011-02-01 00:00:00","ruby","1247"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","swift","3"
"2011-03-01 00:00:00","c++","4165"
"2011-03-01 00:00:00","c#","9965"
"2011-03-01 00:00:00","php","8038"
"2011-03-01 00:00:00","c","2107"
"2011-03-01 00:00:00","python","3741"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","java","8448"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","javascript","6756"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-04-01 00:00:00","c#","9253"
"2011-04-01 00:00:00","javascript","6869"
"2011-04-01 00:00:00","php","7568"
"2011-04-01 00:00:00","java","7880"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2032"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","python","3328"
"2011-04-01 00:00:00","c++","4160"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","perl","550"
"2011-05-01 00:00:00","ruby","1563"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1820"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","c#","9963"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","python","3510"
"2011-05-01 00:00:00","javascript","7288"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","java","8524"
"2011-05-01 00:00:00","swift","1"
"2011-05-01 00:00:00","c++","3863"
"2011-05-01 00:00:00","php","8033"
"2011-06-01 00:00:00","python","3460"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","c++","3797"
"2011-06-01 00:00:00","swift","4"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","java","7860"
"2011-06-01 00:00:00","php","7974"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","javascript","7655"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","ruby","1554"
"2011-06-01 00:00:00","c","1760"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","c#","9714"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","swift","12"
"2011-07-01 00:00:00","python","3648"
"2011-07-01 00:00:00","ruby","1577"
"2011-07-01 00:00:00","javascript","8074"
"2011-07-01 00:00:00","delphi","427"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8580"
"2011-07-01 00:00:00","c#","9555"
"2011-07-01 00:00:00","c","1655"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","java","8120"
"2011-07-01 00:00:00","c++","3845"
"2011-08-01 00:00:00","swift","8"
"2011-08-01 00:00:00","java","8630"
"2011-08-01 00:00:00","javascript","8862"
"2011-08-01 00:00:00","python","3814"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","delphi","422"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","c#","9999"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c++","3942"
"2011-08-01 00:00:00","php","8825"
"2011-09-01 00:00:00","java","8277"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","python","3508"
"2011-09-01 00:00:00","swift","6"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","c#","9237"
"2011-09-01 00:00:00","c","1915"
"2011-09-01 00:00:00","c++","3922"
"2011-09-01 00:00:00","php","7978"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","javascript","8135"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","assembly","154"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","python","3600"
"2011-10-01 00:00:00","c++","4332"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","swift","6"
"2011-10-01 00:00:00","ruby","1600"
"2011-10-01 00:00:00","c#","9150"
"2011-10-01 00:00:00","javascript","7971"
"2011-10-01 00:00:00","java","8495"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","7954"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","c","2137"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","c","2193"
"2011-11-01 00:00:00","swift","4"
"2011-11-01 00:00:00","php","8588"
"2011-11-01 00:00:00","ruby","1731"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","python","3854"
"2011-11-01 00:00:00","java","9563"
"2011-11-01 00:00:00","javascript","8602"
"2011-11-01 00:00:00","c++","4449"
"2011-11-01 00:00:00","c#","9835"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","assembly","211"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","java","9115"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","ruby","1667"
"2011-12-01 00:00:00","php","8250"
"2011-12-01 00:00:00","c","2000"
"2011-12-01 00:00:00","r","613"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","swift","2"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","javascript","8266"
"2011-12-01 00:00:00","c++","4328"
"2011-12-01 00:00:00","python","3603"
"2011-12-01 00:00:00","c#","9242"
"2012-01-01 00:00:00","ruby","1882"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","java","10051"
"2012-01-01 00:00:00","c#","10317"
"2012-01-01 00:00:00","python","4176"
"2012-01-01 00:00:00","c","2215"
"2012-01-01 00:00:00","delphi","509"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","swift","6"
"2012-01-01 00:00:00","javascript","9527"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","c++","4515"
"2012-01-01 00:00:00","php","9170"
"2012-01-01 00:00:00","assembly","169"
"2012-02-01 00:00:00","c++","5071"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","php","9783"
"2012-02-01 00:00:00","swift","9"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","c","2391"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","javascript","9894"
"2012-02-01 00:00:00","c#","10665"
"2012-02-01 00:00:00","java","10863"
"2012-02-01 00:00:00","python","4469"
"2012-02-01 00:00:00","delphi","471"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","php","10743"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","javascript","10607"
"2012-03-01 00:00:00","c","2704"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","c#","11472"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","swift","4"
"2012-03-01 00:00:00","java","12261"
"2012-03-01 00:00:00","c++","5188"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","python","5001"
"2012-03-01 00:00:00","assembly","260"
"2012-04-01 00:00:00","ruby","1955"
"2012-04-01 00:00:00","javascript","10581"
"2012-04-01 00:00:00","delphi","481"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","swift","5"
"2012-04-01 00:00:00","c++","5265"
"2012-04-01 00:00:00","c#","11017"
"2012-04-01 00:00:00","java","11916"
"2012-04-01 00:00:00","php","10259"
"2012-04-01 00:00:00","c","2658"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","assembly","275"
"2012-04-01 00:00:00","python","4891"
"2012-04-01 00:00:00","r","838"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","r","873"
"2012-05-01 00:00:00","swift","6"
"2012-05-01 00:00:00","c","2471"
"2012-05-01 00:00:00","delphi","477"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","c++","4960"
"2012-05-01 00:00:00","python","5064"
"2012-05-01 00:00:00","javascript","11434"
"2012-05-01 00:00:00","ruby","1960"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c#","11471"
"2012-05-01 00:00:00","php","10810"
"2012-05-01 00:00:00","java","12095"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","java","11067"
"2012-06-01 00:00:00","perl","739"
"2012-06-01 00:00:00","c++","4630"
"2012-06-01 00:00:00","ruby","1885"
"2012-06-01 00:00:00","javascript","11193"
"2012-06-01 00:00:00","delphi","417"
"2012-06-01 00:00:00","php","10490"
"2012-06-01 00:00:00","python","5259"
"2012-06-01 00:00:00","c#","11285"
"2012-06-01 00:00:00","r","973"
"2012-06-01 00:00:00","swift","4"
"2012-06-01 00:00:00","c","2302"
"2012-06-01 00:00:00","go","72"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","c++","5260"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","delphi","438"
"2012-07-01 00:00:00","swift","9"
"2012-07-01 00:00:00","c","2365"
"2012-07-01 00:00:00","java","12220"
"2012-07-01 00:00:00","r","1117"
"2012-07-01 00:00:00","c#","12289"
"2012-07-01 00:00:00","php","11666"
"2012-07-01 00:00:00","javascript","12297"
"2012-07-01 00:00:00","ruby","2058"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","python","5716"
"2012-08-01 00:00:00","c","2313"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","swift","5"
"2012-08-01 00:00:00","c#","11928"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c++","5156"
"2012-08-01 00:00:00","php","11830"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","ruby","2057"
"2012-08-01 00:00:00","java","12231"
"2012-08-01 00:00:00","r","1088"
"2012-08-01 00:00:00","perl","760"
"2012-08-01 00:00:00","javascript","12415"
"2012-08-01 00:00:00","python","5853"
"2012-09-01 00:00:00","javascript","11150"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","python","5245"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","swift","7"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","c++","4900"
"2012-09-01 00:00:00","c#","11255"
"2012-09-01 00:00:00","java","11591"
"2012-09-01 00:00:00","php","10922"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","ruby","1953"
"2012-09-01 00:00:00","c","2524"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","javascript","12396"
"2012-10-01 00:00:00","php","11699"
"2012-10-01 00:00:00","swift","4"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","ruby","2255"
"2012-10-01 00:00:00","python","6121"
"2012-10-01 00:00:00","r","1266"
"2012-10-01 00:00:00","c","3150"
"2012-10-01 00:00:00","java","13454"
"2012-10-01 00:00:00","c++","5897"
"2012-10-01 00:00:00","perl","682"
